#datatype dateTime:2006-01-02,long,long,double,double,long,long,string,string,string,string,long,long,long,long,long,long,long,double,long,long,long,long,long,measurement
date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-06-02,20,10,0.0,16.6,4,19,06:29 AM,No moonset,04:49 AM,09:21 PM,7,15,15,15,18,43,61,0.6,1020,20,10,279,14,berlin
2022-06-03,25,10,0.0,16.7,6,26,07:29 AM,12:30 AM,04:48 AM,09:22 PM,7,18,18,18,8,18,50,0.0,1021,25,10,162,6,berlin
2022-06-04,25,15,0.0,16.6,5,32,08:36 AM,01:04 AM,04:47 AM,09:23 PM,8,19,19,19,18,34,51,0.0,1020,25,10,71,13,berlin
2022-06-05,28,12,0.0,16.8,6,39,09:49 AM,01:29 AM,04:47 AM,09:24 PM,6,20,20,19,17,8,45,0.0,1019,28,10,107,12,berlin
2022-06-06,25,17,0.0,13.4,5,46,11:03 AM,01:48 AM,04:46 AM,09:25 PM,14,21,21,21,15,77,67,1.1,1015,25,10,252,11,berlin
2022-06-07,24,14,0.0,16.8,6,53,12:18 PM,02:03 AM,04:45 AM,09:26 PM,8,19,19,19,16,34,52,0.0,1014,24,10,243,12,berlin
2022-06-08,24,14,0.0,15.8,5,60,01:35 PM,02:16 AM,04:45 AM,09:27 PM,11,19,20,19,12,52,59,0.7,1011,24,10,234,8,berlin
2022-06-09,21,15,0.0,13.4,4,66,02:53 PM,02:28 AM,04:44 AM,09:28 PM,11,18,18,18,17,84,66,0.1,1009,21,10,271,13,berlin
2022-06-10,21,14,0.0,16.6,4,73,04:14 PM,02:41 AM,04:44 AM,09:28 PM,10,17,18,17,16,35,60,0.0,1020,21,10,288,12,berlin
2022-06-11,26,18,0.0,16.9,6,80,05:42 PM,02:55 AM,04:44 AM,09:29 PM,11,22,22,22,12,34,50,0.0,1021,26,10,254,9,berlin
2022-06-12,30,16,0.0,16.6,5,87,07:13 PM,03:12 AM,04:43 AM,09:30 PM,10,22,22,21,16,33,51,0.0,1021,30,10,297,11,berlin
2022-06-13,20,14,0.0,14.2,4,93,08:46 PM,03:36 AM,04:43 AM,09:30 PM,8,16,17,16,19,67,59,0.2,1019,20,10,262,14,berlin
2022-06-14,22,10,0.0,16.9,5,100,10:12 PM,04:09 AM,04:43 AM,09:31 PM,6,15,16,15,19,38,55,0.0,1021,22,10,303,14,berlin
2022-06-15,28,13,0.0,16.6,5,93,11:21 PM,05:00 AM,04:43 AM,09:31 PM,8,20,20,20,9,25,50,0.0,1020,28,10,216,6,berlin
2022-06-16,25,16,0.0,16.6,5,86,No moonrise,06:11 AM,04:43 AM,09:32 PM,9,20,20,20,16,31,53,0.0,1019,25,10,75,11,berlin
2022-06-17,27,14,0.0,16.9,6,80,12:09 AM,07:37 AM,04:43 AM,09:32 PM,8,21,21,21,10,26,49,0.0,1022,27,10,280,8,berlin
2022-06-18,32,19,0.0,16.9,7,73,12:42 AM,09:07 AM,04:43 AM,09:33 PM,11,25,25,25,21,29,43,0.0,1017,32,10,220,16,berlin
2022-06-19,27,15,0.0,15.8,5,66,01:04 AM,10:35 AM,04:43 AM,09:33 PM,14,21,21,21,19,39,66,0.2,1012,27,10,39,15,berlin
2022-06-20,21,14,0.0,15.0,4,59,01:21 AM,11:59 AM,04:43 AM,09:33 PM,9,16,16,16,18,69,62,0.1,1013,21,10,238,14,berlin
2022-06-21,24,11,0.0,16.9,5,52,01:34 AM,01:19 PM,04:43 AM,09:34 PM,7,17,18,17,17,33,56,0.1,1013,24,10,270,13,berlin
2022-06-22,30,15,0.0,16.9,6,46,01:46 AM,02:35 PM,04:43 AM,09:34 PM,7,22,22,22,10,15,42,0.0,1011,30,10,189,7,berlin
2022-06-23,32,15,0.0,16.9,7,39,01:58 AM,03:50 PM,04:43 AM,09:34 PM,11,23,23,23,13,6,48,0.0,1014,32,10,44,9,berlin
2022-06-24,33,18,0.0,16.9,7,32,02:10 AM,05:05 PM,04:44 AM,09:34 PM,10,25,25,26,23,15,40,0.0,1011,33,10,129,16,berlin
2022-06-25,25,19,0.0,15.0,5,25,02:25 AM,06:18 PM,04:44 AM,09:34 PM,16,21,22,21,11,69,76,0.9,1013,25,10,165,8,berlin
2022-06-26,33,21,0.0,16.9,7,19,02:44 AM,07:31 PM,04:45 AM,09:34 PM,14,28,28,27,11,29,47,0.0,1014,33,10,157,7,berlin
2022-06-27,35,21,0.0,16.9,8,12,03:08 AM,08:39 PM,04:45 AM,09:34 PM,15,29,29,28,18,17,49,0.0,1014,35,10,153,14,berlin
2022-06-28,27,17,0.0,15.0,5,5,03:41 AM,09:40 PM,04:46 AM,09:34 PM,13,21,21,21,19,60,63,0.3,1020,27,10,244,14,berlin
2022-06-29,29,17,0.0,16.9,6,2,04:25 AM,10:28 PM,04:46 AM,09:33 PM,11,23,23,23,19,15,49,0.0,1017,29,10,63,14,berlin
2022-06-30,28,16,0.0,15.0,5,9,05:21 AM,11:06 PM,04:47 AM,09:33 PM,16,23,23,22,6,66,72,0.0,1013,28,9,163,4,berlin
2022-07-01,25,15,0.0,14.2,5,15,06:26 AM,11:34 PM,04:48 AM,09:33 PM,16,20,20,20,18,50,79,0.2,1014,25,10,225,14,berlin
2022-07-02,28,14,0.0,16.8,6,22,07:38 AM,11:54 PM,04:48 AM,09:32 PM,9,21,21,21,12,26,51,0.0,1023,28,10,225,9,berlin
2022-07-03,32,18,0.0,16.6,6,29,08:51 AM,No moonset,04:49 AM,09:32 PM,9,24,24,25,18,22,40,0.0,1018,32,10,195,12,berlin
2022-07-04,27,18,0.0,16.8,6,36,10:05 AM,12:10 AM,04:50 AM,09:32 PM,12,24,24,23,16,39,52,0.0,1017,27,10,302,12,berlin
2022-07-05,27,16,0.0,16.8,6,42,11:20 AM,12:23 AM,04:51 AM,09:31 PM,7,21,21,21,17,27,44,0.0,1020,27,10,227,13,berlin
2022-07-06,23,14,0.0,15.0,4,49,12:35 PM,12:35 AM,04:52 AM,09:30 PM,7,18,19,18,19,43,49,0.0,1021,23,10,292,15,berlin
