#datatype dateTime:2006-01-02,long,long,double,double,long,long,string,string,string,string,long,long,long,long,long,long,long,double,long,long,long,long,long,measurement
date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-06-02,28,16,0.0,14.5,6,19,06:38 AM,11:36 PM,04:50 AM,08:34 PM,11,23,23,22,10,22,50,0.0,1020,28,10,252,7,budapest
2022-06-03,29,17,0.0,14.5,7,26,07:35 AM,No moonset,04:49 AM,08:35 PM,12,23,23,23,12,19,52,0.0,1020,29,10,128,8,budapest
2022-06-04,29,17,0.0,11.7,5,32,08:38 AM,12:14 AM,04:49 AM,08:35 PM,17,23,23,22,17,48,73,0.9,1016,29,9,230,13,budapest
2022-06-05,28,17,0.0,14.5,6,39,09:46 AM,12:44 AM,04:48 AM,08:36 PM,14,23,23,22,12,29,61,0.0,1018,28,10,142,8,budapest
2022-06-06,27,16,0.0,14.5,6,46,10:54 AM,01:08 AM,04:48 AM,08:37 PM,12,23,23,22,10,11,53,0.0,1016,27,10,122,7,budapest
2022-06-07,29,18,0.0,14.5,7,53,12:04 PM,01:29 AM,04:47 AM,08:38 PM,14,24,24,23,8,21,59,0.0,1013,29,10,145,5,budapest
2022-06-08,25,17,0.0,11.8,5,60,01:15 PM,01:47 AM,04:47 AM,08:38 PM,15,22,22,21,10,62,71,0.6,1011,25,10,269,7,budapest
2022-06-09,22,16,0.0,10.0,4,66,02:27 PM,02:04 AM,04:47 AM,08:39 PM,16,19,19,19,9,87,88,5.7,1006,22,10,207,5,budapest
2022-06-10,27,16,0.0,11.8,5,73,03:43 PM,02:22 AM,04:46 AM,08:40 PM,15,21,21,21,19,54,70,0.4,1012,27,9,228,13,budapest
2022-06-11,27,15,0.0,13.6,5,80,05:04 PM,02:41 AM,04:46 AM,08:40 PM,15,21,21,21,20,44,69,0.2,1017,27,10,304,13,budapest
2022-06-12,27,17,0.0,14.5,6,87,06:28 PM,03:05 AM,04:46 AM,08:41 PM,13,23,23,22,13,39,57,0.0,1019,27,10,138,9,budapest
2022-06-13,31,18,0.0,14.5,7,93,07:54 PM,03:35 AM,04:46 AM,08:42 PM,13,24,24,23,14,12,53,0.0,1016,31,10,191,10,budapest
2022-06-14,26,15,0.0,14.5,6,100,09:16 PM,04:14 AM,04:46 AM,08:42 PM,8,19,20,19,17,4,49,0.0,1020,26,10,315,12,budapest
2022-06-15,30,14,0.0,14.5,6,93,10:25 PM,05:09 AM,04:46 AM,08:43 PM,8,21,21,21,8,1,46,0.0,1021,30,10,184,5,budapest
2022-06-16,32,17,0.0,14.5,7,86,11:18 PM,06:19 AM,04:46 AM,08:43 PM,11,24,24,24,11,14,44,0.0,1018,32,10,163,8,budapest
2022-06-17,26,17,0.0,13.6,5,80,11:57 PM,07:40 AM,04:46 AM,08:43 PM,11,22,22,21,23,30,55,0.6,1019,26,10,323,17,budapest
2022-06-18,30,16,0.0,14.5,7,73,No moonrise,09:04 AM,04:46 AM,08:44 PM,10,23,23,23,7,9,46,0.0,1022,30,10,265,5,budapest
2022-06-19,30,18,0.0,14.5,7,66,12:25 AM,10:25 AM,04:46 AM,08:44 PM,11,25,25,25,13,1,42,0.0,1018,30,10,214,9,budapest
2022-06-20,35,19,0.0,14.5,7,59,12:48 AM,11:43 AM,04:46 AM,08:44 PM,12,27,27,26,17,15,44,0.0,1011,35,10,236,13,budapest
2022-06-21,29,20,0.0,14.5,6,52,01:07 AM,12:57 PM,04:46 AM,08:45 PM,8,24,24,24,24,8,39,0.0,1012,29,10,319,19,budapest
2022-06-22,30,17,0.0,14.5,7,46,01:24 AM,02:08 PM,04:46 AM,08:45 PM,7,23,23,24,10,20,36,0.0,1011,30,10,315,8,budapest
2022-06-23,32,19,0.0,14.5,7,39,01:41 AM,03:17 PM,04:47 AM,08:45 PM,9,25,25,25,14,19,37,0.0,1013,32,10,50,10,budapest
2022-06-24,33,17,0.0,14.5,7,32,01:59 AM,04:26 PM,04:47 AM,08:45 PM,9,24,24,25,11,9,38,0.0,1013,33,10,76,8,budapest
2022-06-25,30,19,0.0,14.5,7,25,02:18 AM,05:35 PM,04:47 AM,08:45 PM,13,24,24,24,14,38,52,0.2,1011,30,10,285,11,budapest
2022-06-26,35,20,0.0,14.5,7,19,02:42 AM,06:42 PM,04:48 AM,08:45 PM,14,27,27,27,7,26,47,0.1,1013,35,10,164,4,budapest
2022-06-27,36,22,0.0,14.5,8,12,03:12 AM,07:46 PM,04:48 AM,08:45 PM,13,29,29,29,9,15,38,0.0,1015,36,10,116,6,budapest
2022-06-28,38,23,0.0,14.5,8,5,03:48 AM,08:44 PM,04:49 AM,08:45 PM,14,30,30,30,15,23,40,0.1,1015,38,10,166,11,budapest
