#datatype dateTime:2006-01-02,long,long,double,double,long,long,string,string,string,string,long,long,long,long,long,long,long,double,long,long,long,long,long,measurement
date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-06-02,16,10,0.0,13.6,3,19,04:59 AM,12:37 AM,03:42 AM,09:51 PM,9,10,12,10,22,97,83,1.8,1009,16,8,299,15,stockholm
2022-06-03,21,8,0.0,17.4,5,26,06:03 AM,01:17 AM,03:41 AM,09:52 PM,7,14,15,14,16,18,63,0.0,1012,21,10,218,11,stockholm
2022-06-04,20,10,0.0,16.1,4,32,07:23 AM,01:40 AM,03:40 AM,09:54 PM,9,14,14,14,11,54,72,0.7,1017,20,9,241,7,stockholm
2022-06-05,23,11,0.0,17.4,6,39,08:48 AM,01:53 AM,03:39 AM,09:55 PM,8,17,17,17,16,20,58,0.0,1018,23,10,200,12,stockholm
2022-06-06,18,9,0.0,17.4,5,46,10:14 AM,02:01 AM,03:38 AM,09:57 PM,7,13,14,13,19,17,64,0.0,1019,18,10,82,14,stockholm
2022-06-07,19,9,0.0,15.5,4,53,11:41 AM,02:06 AM,03:37 AM,09:58 PM,10,13,14,13,17,47,80,0.0,1013,19,10,133,11,stockholm
2022-06-08,18,11,0.0,15.5,4,60,01:07 PM,02:09 AM,03:36 AM,09:59 PM,10,15,15,15,24,45,71,0.4,1006,18,10,199,17,stockholm
2022-06-09,22,11,0.0,16.8,4,66,02:35 PM,02:12 AM,03:35 AM,10:00 PM,10,16,17,16,14,39,67,0.0,1007,22,9,212,10,stockholm
2022-06-10,22,14,0.0,15.7,5,73,04:08 PM,02:15 AM,03:34 AM,10:01 PM,13,18,19,18,12,58,73,0.9,1014,22,10,168,8,stockholm
2022-06-11,24,12,0.0,16.3,5,80,05:48 PM,02:18 AM,03:33 AM,10:02 PM,10,18,18,18,18,34,61,0.0,1015,24,10,239,13,stockholm
2022-06-12,19,12,0.0,15.2,4,87,07:34 PM,02:24 AM,03:33 AM,10:03 PM,10,15,15,15,24,53,69,0.5,1012,19,10,241,17,stockholm
2022-06-13,20,11,0.0,16.8,4,93,09:24 PM,02:33 AM,03:32 AM,10:04 PM,6,15,16,15,21,40,56,0.0,1007,20,10,257,15,stockholm
2022-06-14,20,10,0.0,15.7,4,100,11:04 PM,02:51 AM,03:32 AM,10:05 PM,8,15,15,15,13,57,63,0.4,1009,20,10,182,9,stockholm
2022-06-15,21,11,0.0,17.4,5,93,No moonrise,03:29 AM,03:32 AM,10:06 PM,8,16,17,16,10,26,61,0.0,1015,21,10,214,7,stockholm
