#datatype dateTime:2006-01-02,long,long,double,double,long,long,string,string,string,string,long,long,long,long,long,long,long,double,long,long,long,long,long,measurement
date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2022-06-02,25,17,0.0,14.5,6,19,06:45 AM,11:51 PM,04:58 AM,08:48 PM,11,20,20,20,8,50,59,0.0,1020,25,10,231,6,vienna
2022-06-03,31,14,0.0,14.5,6,26,07:43 AM,No moonset,04:57 AM,08:48 PM,13,23,23,22,16,12,60,0.0,1019,31,10,111,13,vienna
2022-06-04,25,18,0.0,10.0,5,32,08:46 AM,12:28 AM,04:57 AM,08:49 PM,16,22,22,21,21,66,76,1.6,1017,25,10,250,15,vienna
2022-06-05,30,14,0.0,14.5,6,39,09:54 AM,12:58 AM,04:56 AM,08:50 PM,14,22,22,22,12,13,64,0.0,1018,30,10,150,9,vienna
2022-06-06,26,16,0.0,10.0,5,46,11:04 AM,01:22 AM,04:56 AM,08:51 PM,16,20,21,20,12,87,78,1.1,1017,26,10,241,8,vienna
2022-06-07,23,16,0.0,10.9,5,53,12:14 PM,01:42 AM,04:55 AM,08:52 PM,15,19,19,19,13,59,79,1.6,1015,23,9,271,10,vienna
2022-06-08,24,15,0.0,11.8,4,60,01:26 PM,01:59 AM,04:55 AM,08:53 PM,14,18,18,18,10,75,82,1.4,1013,24,9,219,7,vienna
2022-06-09,18,13,0.0,11.8,4,66,02:39 PM,02:15 AM,04:55 AM,08:53 PM,12,14,15,14,28,73,83,2.3,1009,18,9,294,20,vienna
2022-06-10,18,13,0.0,10.9,3,73,03:56 PM,02:32 AM,04:54 AM,08:54 PM,13,13,14,13,30,80,91,4.1,1019,18,7,293,20,vienna
2022-06-11,26,13,0.0,14.5,6,80,05:17 PM,02:51 AM,04:54 AM,08:55 PM,12,19,19,19,21,28,65,0.0,1022,26,10,321,14,vienna
2022-06-12,27,14,0.0,14.5,6,87,06:42 PM,03:14 AM,04:54 AM,08:55 PM,12,21,21,21,12,18,60,0.0,1021,27,10,200,8,vienna
2022-06-13,24,16,0.0,12.7,5,93,08:09 PM,03:43 AM,04:54 AM,08:56 PM,13,20,21,20,16,37,65,0.3,1018,24,10,254,12,vienna
2022-06-14,24,12,0.0,14.5,5,100,09:31 PM,04:22 AM,04:54 AM,08:56 PM,8,18,18,18,12,15,53,0.0,1021,24,10,214,8,vienna
2022-06-15,29,12,0.0,14.5,6,93,10:40 PM,05:17 AM,04:53 AM,08:57 PM,10,20,20,20,11,7,55,0.0,1020,29,10,101,8,vienna
2022-06-16,30,14,0.0,13.6,5,86,11:33 PM,06:26 AM,04:53 AM,08:57 PM,14,21,21,21,9,18,69,1.1,1017,30,10,142,6,vienna
2022-06-17,25,14,0.0,14.5,6,80,No moonrise,07:48 AM,04:53 AM,08:58 PM,11,19,20,19,17,23,62,0.1,1022,25,10,287,12,vienna
2022-06-18,32,16,0.0,13.6,6,73,12:10 AM,09:13 AM,04:53 AM,08:58 PM,14,24,24,23,6,22,57,0.0,1022,32,10,236,4,vienna
2022-06-19,36,17,0.0,14.5,7,66,12:38 AM,10:35 AM,04:54 AM,08:58 PM,14,26,26,26,21,4,49,0.0,1014,36,10,150,15,vienna
2022-06-20,29,18,0.0,10.9,5,59,01:00 AM,11:54 AM,04:54 AM,08:59 PM,15,24,24,23,14,50,62,1.3,1011,29,10,237,10,vienna
2022-06-21,30,16,0.0,14.5,6,52,01:19 AM,01:08 PM,04:54 AM,08:59 PM,9,21,21,21,18,29,50,0.2,1014,30,10,262,14,vienna
2022-06-22,32,15,0.0,14.5,7,46,01:35 AM,02:19 PM,04:54 AM,08:59 PM,10,23,23,23,5,23,47,0.6,1012,32,10,92,4,vienna
2022-06-23,33,17,0.0,14.5,7,39,01:51 AM,03:30 PM,04:54 AM,08:59 PM,12,24,24,24,14,25,55,0.3,1013,33,10,131,10,vienna
2022-06-24,29,15,0.0,14.5,6,32,02:08 AM,04:39 PM,04:55 AM,08:59 PM,12,23,23,22,21,27,54,0.3,1011,29,10,123,16,vienna
2022-06-25,25,15,0.0,11.8,4,25,02:27 AM,05:49 PM,04:55 AM,08:59 PM,15,19,19,19,27,67,79,2.1,1013,25,7,285,17,vienna
2022-06-26,33,17,0.0,14.5,7,19,02:50 AM,06:56 PM,04:55 AM,08:59 PM,15,25,25,24,7,25,61,0.2,1013,33,10,197,5,vienna
2022-06-27,37,20,0.0,14.5,8,12,03:19 AM,08:01 PM,04:56 AM,08:59 PM,15,29,29,28,16,6,46,0.0,1014,37,10,132,12,vienna
2022-06-28,29,20,0.0,11.8,6,5,03:56 AM,08:59 PM,04:56 AM,08:59 PM,17,25,25,24,19,60,67,1.4,1017,29,10,303,15,vienna
